"Time_h","P_mm_h","Pe_mm_h","Q_total_m3s","Q_base_m3s","Q_direct_m3s","Q_SCS_UH_m3s","Q_Clark_UH_m3s","Q_GIUH_m3s"
0,0.5,0,0,0,0,0,0,0
0.005,0.50208,0,7e-05,2e-05,5e-05,0,0,0
0.01,0.50416,0,0.00014,4e-05,1e-04,0,0,0
0.015,0.50624,0,0.00021,8e-05,0.00013,0,0,0
0.02,0.50832,0,0.00028,0.00012,0.00016,0,0,0
0.025,0.5104,0,0.00035,0.00017,0.00018,0,0,0
0.03,0.51248,0,0.00042,0.00022,2e-04,0,0,0
0.035,0.51456,0,0.00049,0.00027,0.00022,0,0,0
0.04,0.51664,0,0.00056,0.00032,0.00024,0,0,0
0.045,0.51872,0,0.00063,0.00037,0.00026,0,0,0
0.05,0.5208,0,7e-04,0.00043,0.00027,0,0,0
0.055,0.52288,0,0.00077,0.00048,0.00029,0,0,0
0.06,0.52496,0,0.00084,0.00054,3e-04,0,0,0
0.065,0.52704,0,0.00091,0.00059,0.00032,0,0,0
0.07,0.52912,0,0.00098,0.00065,0.00033,0,0,0
0.075,0.5312,0,0.00105,7e-04,0.00035,0,0,0
0.08,0.53328,0,0.00112,0.00076,0.00036,0,0,0
0.085,0.53536,0,0.00119,0.00081,0.00038,0,0,0
0.09,0.53744,0,0.00126,0.00087,0.00039,0,0,0
0.095,0.53952,0,0.00133,0.00093,4e-04,0,0,0
0.1,0.5416,0,0.0014,0.00098,0.00042,0,0,0
0.105,0.54368,0,0.00147,0.00104,0.00043,0,0,0
0.11,0.54576,0,0.00154,0.00109,0.00045,0,0,0
0.115,0.54784,0,0.00161,0.00115,0.00046,0,0,0
0.12,0.54992,0,0.00168,0.00121,0.00047,0,0,0
0.125,0.552,0,0.00175,0.00126,0.00049,0,0,0
0.13,0.55408,0,0.00182,0.00132,5e-04,0,0,0
0.135,0.55616,0,0.00189,0.00137,0.00052,0,0,0
0.14,0.55824,0,0.00196,0.00143,0.00053,0,0,0
0.145,0.56032,0,0.00203,0.00149,0.00054,0,0,0
0.15,0.5624,0,0.0021,0.00154,0.00056,0,0,0
0.155,0.56448,0,0.00217,0.0016,0.00057,0,0,0
0.16,0.56656,0,0.00224,0.00165,0.00059,0,0,0
0.165,0.56864,0,0.00231,0.00171,6e-04,0,0,0
0.17,0.57072,0,0.00238,0.00177,0.00061,0,0,0
0.175,0.5728,0,0.00245,0.00182,0.00063,0,0,0
0.18,0.57488,0,0.00252,0.00188,0.00064,0,0,0
0.185,0.57696,0,0.00259,0.00193,0.00066,0,0,0
0.19,0.57904,0,0.00266,0.00199,0.00067,0,0,0
0.195,0.58112,0,0.00273,0.00205,0.00068,0,0,0
0.2,0.5832,0,0.0028,0.0021,7e-04,0,0,0
0.205,0.58528,0,0.00287,0.00216,0.00071,0,0,0
0.21,0.58736,0,0.00294,0.00221,0.00073,0,0,0
0.215,0.58944,0,0.00301,0.00227,0.00074,0,0,0
0.22,0.59152,0,0.00308,0.00233,0.00075,0,0,0
0.225,0.5936,0,0.00315,0.00238,0.00077,0,0,0
0.23,0.59568,0,0.00322,0.00244,0.00078,0,0,0
0.235,0.59776,0,0.00329,0.00249,8e-04,0,0,0
0.24,0.59984,0,0.00336,0.00255,0.00081,0,0,0
0.245,0.60192,0,0.00343,0.00261,0.00082,0,0,0
0.25,0.604,0,0.0035,0.00266,0.00084,0,0,0
0.255,0.60608,0,0.00357,0.00272,0.00085,0,0,0
0.26,0.60816,0,0.00364,0.00277,0.00087,0,0,0
0.265,0.61024,0,0.00371,0.00283,0.00088,0,0,0
0.27,0.61232,0,0.00378,0.00289,0.00089,0,0,0
0.275,0.6144,0,0.00385,0.00294,0.00091,0,0,0
0.28,0.61648,0,0.00392,0.003,0.00092,0,0,0
0.285,0.61856,0,0.00399,0.00305,0.00094,0,0,0
0.29,0.62064,0,0.00406,0.00311,0.00095,0,0,0
0.295,0.62272,0,0.00413,0.00317,0.00096,0,0,0
0.3,0.6248,0,0.0042,0.00322,0.00098,0,0,0
0.305,0.62688,0,0.00427,0.00328,0.00099,0,0,0
0.31,0.62896,0,0.00434,0.00333,0.00101,0,0,0
0.315,0.63104,0,0.00441,0.00339,0.00102,0,0,0
0.32,0.63312,0,0.00448,0.00345,0.00103,0,0,0
0.325,0.6352,0,0.00455,0.0035,0.00105,0,0,0
0.33,0.63728,0,0.00462,0.00356,0.00106,0,0,0
0.335,0.63936,0,0.00469,0.00361,0.00108,0,0,0
0.34,0.64144,0,0.00476,0.00367,0.00109,0,0,0
0.345,0.64352,0,0.00483,0.00373,0.0011,0,0,0
0.35,0.6456,0,0.0049,0.00378,0.00112,0,0,0
0.355,0.64768,0,0.00497,0.00384,0.00113,0,0,0
0.36,0.64976,0,0.00504,0.00389,0.00115,0,0,0
0.365,0.65184,0,0.00511,0.00395,0.00116,0,0,0
0.37,0.65392,0,0.00518,0.00401,0.00117,0,0,0
0.375,0.656,0,0.00525,0.00406,0.00119,0,0,0
0.38,0.65808,0,0.00532,0.00412,0.0012,0,0,0
0.385,0.66016,0,0.00539,0.00417,0.00122,0,0,0
0.39,0.66224,0,0.00546,0.00423,0.00123,0,0,0
0.395,0.66432,0,0.00553,0.00429,0.00124,0,0,0
0.4,0.6664,0,0.0056,0.00434,0.00126,0,0,0
0.405,0.66848,0,0.00567,0.0044,0.00127,0,0,0
0.41,0.67056,0,0.00574,0.00445,0.00129,0,0,0
0.415,0.67264,0,0.00581,0.00451,0.0013,0,0,0
0.42,0.67472,0,0.00588,0.00457,0.00131,0,0,0
0.425,0.6768,0,0.00595,0.00462,0.00133,0,0,0
0.43,0.67888,0,0.00602,0.00468,0.00134,0,0,0
0.435,0.68096,0,0.00609,0.00473,0.00136,0,0,0
0.44,0.68304,0,0.00616,0.00479,0.00137,0,0,0
0.445,0.68512,0,0.00623,0.00485,0.00138,0,0,0
0.45,0.6872,0,0.0063,0.0049,0.0014,0,0,0
0.455,0.68928,0,0.00637,0.00496,0.00141,0,0,0
0.46,0.69136,0,0.00644,0.00501,0.00143,0,0,0
0.465,0.69344,0,0.00651,0.00507,0.00144,0,0,0
0.47,0.69552,0,0.00658,0.00513,0.00145,0,0,0
0.475,0.6976,0,0.00665,0.00518,0.00147,0,0,0
0.48,0.69968,0,0.00672,0.00524,0.00148,0,0,0
0.485,0.70176,0,0.00679,0.00529,0.0015,0,0,0
0.49,0.70384,0,0.00686,0.00535,0.00151,0,0,0
0.495,0.70592,0,0.00693,0.00541,0.00152,0,0,0
0.5,0.708,0,0.007,0.00546,0.00154,0,0,0
0.505,0.72592,0,0.00713,0.00553,0.0016,0,0,0
0.51,0.74384,0,0.00726,0.00561,0.00165,0,0,0
0.515,0.76176,0,0.00739,0.0057,0.00169,0,0,0
0.52,0.77968,0,0.00752,0.00579,0.00173,0,0,0
0.525,0.7976,0,0.00765,0.00589,0.00176,0,0,0
0.53,0.81552,0,0.00778,0.00598,0.0018,0,0,0
0.535,0.83344,0,0.00791,0.00608,0.00183,0,0,0
0.54,0.85136,0,0.00804,0.00618,0.00186,0,0,0
0.545,0.86928,0,0.00817,0.00629,0.00188,0,0,0
0.55,0.8872,0,0.0083,0.00639,0.00191,0,0,0
0.555,0.90512,0,0.00843,0.00649,0.00194,0,0,0
0.56,0.92304,0,0.00856,0.00659,0.00197,0,0,0
0.565,0.94096,0,0.00869,0.0067,0.00199,0,0,0
0.57,0.95888,0,0.00882,0.0068,0.00202,0,0,0
0.575,0.9768,0,0.00895,0.0069,0.00205,0,0,0
0.58,0.99472,0,0.00908,0.00701,0.00207,0,0,0
0.585,1.01264,0,0.00921,0.00711,0.0021,0,0,0
0.59,1.03056,0,0.00934,0.00722,0.00212,0,0,0
0.595,1.04848,0,0.00947,0.00732,0.00215,0,0,0
0.6,1.0664,0,0.0096,0.00742,0.00218,0,0,0
0.605,1.08432,0,0.00973,0.00753,0.0022,0,0,0
0.61,1.10224,0,0.00986,0.00763,0.00223,0,0,0
0.615,1.12016,0,0.00999,0.00774,0.00225,0,0,0
0.62,1.13808,0,0.01012,0.00784,0.00228,0,0,0
0.625,1.156,0,0.01025,0.00794,0.00231,0,0,0
0.63,1.17392,0,0.01038,0.00805,0.00233,0,0,0
0.635,1.19184,0,0.01051,0.00815,0.00236,0,0,0
0.64,1.20976,0,0.01064,0.00826,0.00238,0,0,0
0.645,1.22768,0,0.01077,0.00836,0.00241,0,0,0
0.65,1.2456,0,0.0109,0.00846,0.00244,0,0,0
0.655,1.26352,0,0.01103,0.00857,0.00246,0,0,0
0.66,1.28144,0,0.01116,0.00867,0.00249,0,0,0
0.665,1.29936,0,0.01129,0.00878,0.00251,0,0,0
0.67,1.31728,0,0.01142,0.00888,0.00254,0,0,0
0.675,1.3352,0,0.01155,0.00898,0.00257,0,0,0
0.68,1.35312,0,0.01168,0.00909,0.00259,0,0,0
0.685,1.37104,0,0.01181,0.00919,0.00262,0,0,0
0.69,1.38896,0,0.01194,0.0093,0.00264,0,0,0
0.695,1.40688,0,0.01207,0.0094,0.00267,0,0,0
0.7,1.4248,0,0.0122,0.0095,0.0027,0,0,0
0.705,1.44272,0,0.01233,0.00961,0.00272,0,0,0
0.71,1.46064,0,0.01246,0.00971,0.00275,0,0,0
0.715,1.47856,0,0.01259,0.00982,0.00277,0,0,0
0.72,1.49648,0,0.01272,0.00992,0.0028,0,0,0
0.725,1.5144,0,0.01285,0.01002,0.00283,0,0,0
0.73,1.53232,0,0.01298,0.01013,0.00285,0,0,0
0.735,1.55024,0,0.01311,0.01023,0.00288,0,0,0
0.74,1.56816,0,0.01324,0.01034,0.0029,0,0,0
0.745,1.58608,0,0.01337,0.01044,0.00293,0,0,0
0.75,1.604,0,0.0135,0.01054,0.00296,0,0,0
0.755,1.62192,0,0.01363,0.01065,0.00298,0,0,0
0.76,1.63984,0,0.01376,0.01075,0.00301,0,0,0
0.765,1.65776,0,0.01389,0.01086,0.00303,0,0,0
0.77,1.67568,0,0.01402,0.01096,0.00306,0,0,0
0.775,1.6936,0,0.01415,0.01106,0.00309,0,0,0
0.78,1.71152,0,0.01428,0.01117,0.00311,0,0,0
0.785,1.72944,0,0.01441,0.01127,0.00314,0,0,0
0.79,1.74736,0,0.01454,0.01138,0.00316,0,0,0
0.795,1.76528,0,0.01467,0.01148,0.00319,0,0,0
0.8,1.7832,0,0.0148,0.01158,0.00322,0,0,0
0.805,1.80112,0,0.01493,0.01169,0.00324,0,0,0
0.81,1.81904,0,0.01506,0.01179,0.00327,0,0,0
0.815,1.83696,0,0.01519,0.0119,0.00329,0,0,0
0.82,1.85488,0,0.01532,0.012,0.00332,0,0,0
0.825,1.8728,0,0.01545,0.0121,0.00335,0,0,0
0.83,1.89072,0,0.01558,0.01221,0.00337,0,0,0
0.835,1.90864,0,0.01571,0.01231,0.0034,0,0,0
0.84,1.92656,0,0.01584,0.01242,0.00342,0,0,0
0.845,1.94448,0,0.01597,0.01252,0.00345,0,0,0
0.85,1.9624,0,0.0161,0.01262,0.00348,0,0,0
0.855,1.98032,0,0.01623,0.01273,0.0035,0,0,0
0.86,1.99824,0,0.01636,0.01283,0.00353,0,0,0
