"Indicator","Value","Unit","Interpretation"
"Total Runoff Volume (m3)",20955,"m3","Total event volume"
"Maximum Discharge (m3/s)",1.039,"m3/s","Maximum recorded discharge"
"Mean Discharge (m3/s)",0.4156,"m3/s","Average event discharge"
"Q5 (Flood peak)",0.962,"m3/s","Exceeded only 5% of the time"
"Q10 (High flows)",0.8866,"m3/s","Exceeded 10% of the time"
"Q50 (Event median)",0.367,"m3/s","Median discharge"
"Q90 (Recession/Low)",0.0328,"m3/s","Exceeded 90% of the time"
"Q95 (Baseflow/End)",0.0122,"m3/s","Exceeded 95% of the time"
"R-B Flashiness Index",0.000892,"-","ATTENUATED hydrograph"
"Recession Slope (Q10-Q90)",0.017898,"-","VERY SLOW recession"
